epoch,losses
0,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
1,"{'adv_total': 1.7714403718709946, 'adv_toward': 1.5637595653533936, 'adv_away': 0.207680806517601}"
2,"{'adv_total': 0.004771167354192585, 'adv_toward': 0.004041772335767746, 'adv_away': 0.0007293950184248388}"
3,"{'adv_total': 0.09013624675571918, 'adv_toward': 0.07823110371828079, 'adv_away': 0.011905143037438393}"
4,"{'adv_total': 0.9364542961120605, 'adv_toward': 0.7652965188026428, 'adv_away': 0.17115777730941772}"
5,"{'adv_total': 1.442312054336071, 'adv_toward': 1.3611408472061157, 'adv_away': 0.08117120712995529}"
6,"{'adv_total': 1.2896777987480164, 'adv_toward': 1.1459100246429443, 'adv_away': 0.14376777410507202}"
7,"{'adv_total': 1.8415147811174393, 'adv_toward': 1.6172515153884888, 'adv_away': 0.2242632657289505}"
8,"{'adv_total': 0.0010869700636249036, 'adv_toward': 0.0008348717237822711, 'adv_away': 0.0002520983398426324}"
9,"{'adv_total': 0.0360476712230593, 'adv_toward': 0.03239737078547478, 'adv_away': 0.0036503004375845194}"
10,"{'adv_total': 0.13531928975135088, 'adv_toward': 0.12426917999982834, 'adv_away': 0.011050109751522541}"
11,"{'adv_total': 0.7990923970937729, 'adv_toward': 0.766481876373291, 'adv_away': 0.03261052072048187}"
12,"{'adv_total': 1.2303866893053055, 'adv_toward': 1.1292140483856201, 'adv_away': 0.10117264091968536}"
13,"{'adv_total': 1.7739088833332062, 'adv_toward': 1.379631519317627, 'adv_away': 0.3942773640155792}"
14,"{'adv_total': 0.009056678332854062, 'adv_toward': 0.008130001835525036, 'adv_away': 0.0009266764973290265}"
15,"{'adv_total': 0.05043102893978357, 'adv_toward': 0.04573114961385727, 'adv_away': 0.004699879325926304}"
16,"{'adv_total': 0.3813256397843361, 'adv_toward': 0.2828832268714905, 'adv_away': 0.09844241291284561}"
17,"{'adv_total': 0.5693700611591339, 'adv_toward': 0.5380299687385559, 'adv_away': 0.031340092420578}"
18,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
19,"{'adv_total': 1.8132481575012207, 'adv_toward': 1.5346492528915405, 'adv_away': 0.2785989046096802}"
20,"{'adv_total': 0.035654806066304445, 'adv_toward': 0.03139125183224678, 'adv_away': 0.004263554234057665}"
21,"{'adv_total': 0.025557797634974122, 'adv_toward': 0.024890000000596046, 'adv_away': 0.0006677976343780756}"
22,"{'adv_total': 0.6483369171619415, 'adv_toward': 0.5305834412574768, 'adv_away': 0.11775347590446472}"
23,"{'adv_total': 0.8552950210869312, 'adv_toward': 0.8028672337532043, 'adv_away': 0.05242778733372688}"
24,"{'adv_total': 1.7656573057174683, 'adv_toward': 1.6182454824447632, 'adv_away': 0.14741182327270508}"
25,"{'adv_total': 2.6409619599580765, 'adv_toward': 2.407578229904175, 'adv_away': 0.23338373005390167}"
26,"{'adv_total': 0.0025469040556345135, 'adv_toward': 0.00223080744035542, 'adv_away': 0.0003160966152790934}"
27,"{'adv_total': 0.04071774723706767, 'adv_toward': 0.03989951312541962, 'adv_away': 0.0008182341116480529}"
28,"{'adv_total': 0.5179478973150253, 'adv_toward': 0.46596795320510864, 'adv_away': 0.05197994410991669}"
29,"{'adv_total': 1.6787666119635105, 'adv_toward': 1.6447422504425049, 'adv_away': 0.03402436152100563}"
30,"{'adv_total': 1.3716592192649841, 'adv_toward': 1.2087674140930176, 'adv_away': 0.16289180517196655}"
31,"{'adv_total': 2.495216004550457, 'adv_toward': 2.373722791671753, 'adv_away': 0.12149321287870407}"
32,"{'adv_total': 0.047189975157380104, 'adv_toward': 0.033570148050785065, 'adv_away': 0.01361982710659504}"
33,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
34,"{'adv_total': 0.8809206932783127, 'adv_toward': 0.7586367726325989, 'adv_away': 0.1222839206457138}"
35,"{'adv_total': 1.5642531663179398, 'adv_toward': 1.5298837423324585, 'adv_away': 0.03436942398548126}"
36,"{'adv_total': 2.611759550869465, 'adv_toward': 2.53452205657959, 'adv_away': 0.07723749428987503}"
37,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
38,"{'adv_total': 0.12416291330009699, 'adv_toward': 0.11139639467000961, 'adv_away': 0.012766518630087376}"
39,"{'adv_total': 0.026286803651601076, 'adv_toward': 0.022416215389966965, 'adv_away': 0.0038705882616341114}"
40,"{'adv_total': 0.6122679710388184, 'adv_toward': 0.519561767578125, 'adv_away': 0.09270620346069336}"
41,"{'adv_total': 0.9171952977776527, 'adv_toward': 0.8858210444450378, 'adv_away': 0.0313742533326149}"
42,"{'adv_total': 0.8556820005178452, 'adv_toward': 0.7457239627838135, 'adv_away': 0.10995803773403168}"
43,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
44,"{'adv_total': 0.006173424888402224, 'adv_toward': 0.004319080151617527, 'adv_away': 0.0018543447367846966}"
45,"{'adv_total': 0.034571229480206966, 'adv_toward': 0.029650511220097542, 'adv_away': 0.004920718260109425}"
46,"{'adv_total': 1.6332839950919151, 'adv_toward': 1.5106312036514282, 'adv_away': 0.12265279144048691}"
47,"{'adv_total': 0.58432612195611, 'adv_toward': 0.5547277927398682, 'adv_away': 0.029598329216241837}"
48,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
49,"{'adv_total': 1.8689148128032684, 'adv_toward': 1.6560794115066528, 'adv_away': 0.2128354012966156}"
50,"{'adv_total': 0.5446590334177017, 'adv_toward': 0.510959267616272, 'adv_away': 0.03369976580142975}"
51,"{'adv_total': 0.039667761069722474, 'adv_toward': 0.03947804123163223, 'adv_away': 0.00018971983809024096}"
52,"{'adv_total': 1.0953445583581924, 'adv_toward': 0.9309961795806885, 'adv_away': 0.16434837877750397}"
53,"{'adv_total': 0.67388647608459, 'adv_toward': 0.6546472907066345, 'adv_away': 0.019239185377955437}"
54,"{'adv_total': 1.5666761696338654, 'adv_toward': 1.4276444911956787, 'adv_away': 0.13903167843818665}"
55,"{'adv_total': 1.6319980025291443, 'adv_toward': 1.3365776538848877, 'adv_away': 0.2954203486442566}"
56,"{'adv_total': 0.055995550006628036, 'adv_toward': 0.05095973238348961, 'adv_away': 0.005035817623138428}"
57,"{'adv_total': 0.006117647979408503, 'adv_toward': 0.0036615198478102684, 'adv_away': 0.002456128131598234}"
58,"{'adv_total': 1.1129914373159409, 'adv_toward': 0.9249199032783508, 'adv_away': 0.18807153403759003}"
59,"{'adv_total': 0.8374407589435577, 'adv_toward': 0.766423761844635, 'adv_away': 0.07101699709892273}"
60,"{'adv_total': 1.290650025010109, 'adv_toward': 1.1792101860046387, 'adv_away': 0.11143983900547028}"
61,"{'adv_total': 2.4341153353452682, 'adv_toward': 2.3520829677581787, 'adv_away': 0.08203236758708954}"
62,"{'adv_total': 0.015458895824849606, 'adv_toward': 0.012468256987631321, 'adv_away': 0.0029906388372182846}"
63,"{'adv_total': 0.031439827755093575, 'adv_toward': 0.03092585690319538, 'adv_away': 0.0005139708518981934}"
64,"{'adv_total': 1.023392140865326, 'adv_toward': 0.8818318843841553, 'adv_away': 0.14156025648117065}"
65,"{'adv_total': 1.2122136196121573, 'adv_toward': 1.1978623867034912, 'adv_away': 0.014351232908666134}"
66,"{'adv_total': 0.9567077457904816, 'adv_toward': 0.7770344614982605, 'adv_away': 0.17967328429222107}"
67,"{'adv_total': 2.040892332792282, 'adv_toward': 1.826873540878296, 'adv_away': 0.2140187919139862}"
68,"{'adv_total': 0.0058474368415772915, 'adv_toward': 0.0036301440559327602, 'adv_away': 0.0022172927856445312}"
69,"{'adv_total': 0.01404344942420721, 'adv_toward': 0.01097569614648819, 'adv_away': 0.003067753277719021}"
70,"{'adv_total': 1.3220014423131943, 'adv_toward': 1.1695640087127686, 'adv_away': 0.15243743360042572}"
71,"{'adv_total': 1.313055843114853, 'adv_toward': 1.116905689239502, 'adv_away': 0.19615015387535095}"
72,"{'adv_total': 0.6871602311730385, 'adv_toward': 0.5883225202560425, 'adv_away': 0.098837710916996}"
73,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
74,"{'adv_total': 0.00952737801708281, 'adv_toward': 0.006240866146981716, 'adv_away': 0.0032865118701010942}"
75,"{'adv_total': 0.1671653795056045, 'adv_toward': 0.16263999044895172, 'adv_away': 0.004525389056652784}"
76,"{'adv_total': 0.5436072498559952, 'adv_toward': 0.4681451618671417, 'adv_away': 0.07546208798885345}"
77,"{'adv_total': 0.8407989963889122, 'adv_toward': 0.7560973167419434, 'adv_away': 0.08470167964696884}"
78,"{'adv_total': 1.1715316325426102, 'adv_toward': 0.9347341656684875, 'adv_away': 0.23679746687412262}"
79,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
80,"{'adv_total': 0.028309987857937813, 'adv_toward': 0.021560033783316612, 'adv_away': 0.0067499540746212006}"
81,"{'adv_total': 0.3089456297457218, 'adv_toward': 0.27391543984413147, 'adv_away': 0.03503018990159035}"
82,"{'adv_total': 0.798520639538765, 'adv_toward': 0.6599236130714417, 'adv_away': 0.1385970264673233}"
83,"{'adv_total': 0.9696269631385803, 'adv_toward': 0.9281263947486877, 'adv_away': 0.04150056838989258}"
84,"{'adv_total': 1.0646720081567764, 'adv_toward': 0.9174595475196838, 'adv_away': 0.1472124606370926}"
85,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
86,"{'adv_total': 0.00236395129468292, 'adv_toward': 0.0020037537906318903, 'adv_away': 0.0003601975040510297}"
87,"{'adv_total': 0.043968049343675375, 'adv_toward': 0.03988879173994064, 'adv_away': 0.004079257603734732}"
88,"{'adv_total': 1.071796029806137, 'adv_toward': 0.9052596092224121, 'adv_away': 0.16653642058372498}"
89,"{'adv_total': 0.268290450097993, 'adv_toward': 0.2662085294723511, 'adv_away': 0.002081920625641942}"
90,"{'adv_total': 1.2957916110754013, 'adv_toward': 1.1120747327804565, 'adv_away': 0.18371687829494476}"
91,"{'adv_total': 2.1610213220119476, 'adv_toward': 1.776413917541504, 'adv_away': 0.3846074044704437}"
92,"{'adv_total': 0.004668722860515118, 'adv_toward': 0.0026977660600095987, 'adv_away': 0.001970956800505519}"
93,"{'adv_total': 0.033017098903656006, 'adv_toward': 0.025809111073613167, 'adv_away': 0.007207987830042839}"
94,"{'adv_total': 0.300506629049778, 'adv_toward': 0.2089284360408783, 'adv_away': 0.09157819300889969}"
95,"{'adv_total': 1.0919901132583618, 'adv_toward': 1.012210488319397, 'adv_away': 0.07977962493896484}"
96,"{'adv_total': 1.2797294855117798, 'adv_toward': 1.1307438611984253, 'adv_away': 0.1489856243133545}"
97,"{'adv_total': 1.6941654682159424, 'adv_toward': 1.4298292398452759, 'adv_away': 0.2643362283706665}"
98,"{'adv_total': 0.008964285254478455, 'adv_toward': 0.008819326758384705, 'adv_away': 0.00014495849609375}"
99,"{'adv_total': 0.02867420669645071, 'adv_toward': 0.018388088792562485, 'adv_away': 0.010286117903888226}"
